theme,code,category,value,areaName
mainLanguage,E12000003,65,495,Yorkshire and The Humber
mainLanguage,E12000003,66,484,Yorkshire and The Humber
mainLanguage,E12000003,67,1210,Yorkshire and The Humber
mainLanguage,E12000003,68,1828,Yorkshire and The Humber
mainLanguage,E12000003,69,830,Yorkshire and The Humber
mainLanguage,E12000003,70,2455,Yorkshire and The Humber
mainLanguage,E12000003,71,868,Yorkshire and The Humber
mainLanguage,E12000003,72,173,Yorkshire and The Humber
mainLanguage,E12000003,73,3,Yorkshire and The Humber
mainLanguage,E12000003,74,2,Yorkshire and The Humber
mainLanguage,E12000003,75,46,Yorkshire and The Humber
mainLanguage,E12000003,76,993,Yorkshire and The Humber
mainLanguage,E12000003,77,3411,Yorkshire and The Humber
mainLanguage,E12000003,78,2257,Yorkshire and The Humber
mainLanguage,E12000003,79,38,Yorkshire and The Humber
mainLanguage,E12000003,80,1079,Yorkshire and The Humber
mainLanguage,E12000003,81,332,Yorkshire and The Humber
mainLanguage,E12000003,82,621,Yorkshire and The Humber
mainLanguage,E12000003,83,1001,Yorkshire and The Humber
mainLanguage,E12000003,84,65,Yorkshire and The Humber
mainLanguage,E12000003,85,312,Yorkshire and The Humber
mainLanguage,E12000003,86,1076,Yorkshire and The Humber
mainLanguage,E12000003,87,261,Yorkshire and The Humber
mainLanguage,E12000003,88,273,Yorkshire and The Humber
mainLanguage,E12000003,89,1625,Yorkshire and The Humber
mainLanguage,E12000003,90,1856,Yorkshire and The Humber
mainLanguage,E12000003,91,2120,Yorkshire and The Humber
mainLanguage,E12000003,92,139,Yorkshire and The Humber
mainLanguage,E12000003,93,354,Yorkshire and The Humber
mainLanguage,E12000003,94,644,Yorkshire and The Humber
mainLanguage,E12000004,-8,147123,East Midlands
mainLanguage,E12000004,1,4340514,East Midlands
mainLanguage,E12000004,2,378,East Midlands
mainLanguage,E12000004,3,50,East Midlands
mainLanguage,E12000004,4,8,East Midlands
mainLanguage,E12000004,5,0,East Midlands
mainLanguage,E12000004,6,15,East Midlands
